"","id","statusesCount","followersCount","favoritesCount","friendsCount","created","verified","relationship","cluster"
"365","99828167",16087,810,24,837,2009-12-28 01:36:39,FALSE,2,"4"
"366","157041812",9068,20733,665,108,2010-06-18 17:43:17,FALSE,1,"4"
"367","91637663",953,720,1,1437,2009-11-21 19:34:12,FALSE,1,"3"
"368","91637663",953,720,1,1437,2009-11-21 19:34:12,FALSE,2,"3"
"369","152877873",575,59,15,109,2010-06-07 03:20:57,FALSE,1,"3"
"370","152877873",575,59,15,109,2010-06-07 03:20:57,FALSE,2,"3"
"371","375830954",7,21,3,34,2011-09-18 20:21:30,FALSE,2,"2"
"372","124065168",8,3455,4,987,2010-03-18 04:25:29,FALSE,1,"3"
"373","144213894",279,4341,0,229,2010-05-15 16:37:07,FALSE,1,"3"
"374","31433872",7751,28283,137,5096,2009-04-15 15:30:40,FALSE,1,"1"
"375","31433872",7751,28283,137,5096,2009-04-15 15:30:40,FALSE,2,"1"
"376","108844785",8528,346,64,349,2010-01-27 05:20:27,FALSE,1,"4"
"377","108844785",8528,346,64,349,2010-01-27 05:20:27,FALSE,2,"4"
"378","134300581",6,491,0,6,2010-04-18 01:40:40,FALSE,1,"2"
"379","52075001",22579,26273,4,325,2009-06-29 14:42:23,FALSE,1,"1"
"380","92498229",9285,34027,23,29,2009-11-25 11:03:31,FALSE,1,"1"
"381","241746074",62,34,12,83,2011-01-23 01:43:55,FALSE,2,"2"
"382","124228601",392,160,1,198,2010-03-18 17:54:05,FALSE,1,"3"
"383","124228601",392,160,1,198,2010-03-18 17:54:05,FALSE,2,"3"
"384","161279565",9683,1111,0,1956,2010-06-30 12:53:05,FALSE,2,"3"
"385","97974174",157083,133225,188,90970,2009-12-19 20:15:53,FALSE,1,"1"
"386","97974174",157083,133225,188,90970,2009-12-19 20:15:53,FALSE,2,"1"
"387","43436585",269,86,9,195,2009-05-29 23:41:52,FALSE,2,"3"
"388","121836655",8107,11569,59,2106,2010-03-10 19:09:03,FALSE,1,"1"
"389","74492844",52378,502024,160,912,2009-09-15 16:50:15,TRUE,1,"1"
"390","143445588",497,4941,0,0,2010-05-13 13:48:24,FALSE,1,"3"
"391","1653821096",17387,5330,18,4602,2013-08-07 20:32:17,FALSE,1,"1"
"392","2342197760",671,419,151,361,2014-02-13 16:00:20,FALSE,2,"4"
"393","404600975",37543,4250,0,5160,2011-11-04 04:37:02,FALSE,1,"1"
"394","404600975",37543,4250,0,5160,2011-11-04 04:37:02,FALSE,2,"1"
"395","630328377",795,620,0,530,2012-07-08 14:20:25,FALSE,2,"3"
"396","129280923",38324,1849762,5959,69,2010-04-03 19:41:52,FALSE,1,"1"
"397","77054564",32917,1725300,574,1392,2009-09-24 22:02:11,TRUE,1,"1"
"398","146079400",982,245,0,568,2010-05-20 15:04:57,FALSE,2,"3"
"399","120728604",169,187,1,645,2010-03-07 10:42:55,FALSE,2,"3"
"400","287221526",372,828,10,838,2011-04-24 15:17:31,FALSE,1,"3"
"401","287221526",372,828,10,838,2011-04-24 15:17:31,FALSE,2,"3"
"402","941469864",22740,5987,26,41,2012-11-11 14:57:51,FALSE,1,"4"
"403","287960829",24078,8203,760,473,2011-04-26 00:31:50,FALSE,1,"4"
"404","55693804",6113,45140,7,9818,2009-07-10 23:15:14,FALSE,2,"1"
"405","193282914",81490,574953,139,4322,2010-09-21 13:01:40,FALSE,1,"1"
"406","30781485",2701,269,28,357,2009-04-13 02:10:30,FALSE,1,"3"
"407","30781485",2701,269,28,357,2009-04-13 02:10:30,FALSE,2,"3"
"408","331928124",1057,49,8,383,2011-07-08 23:15:13,FALSE,2,"3"
"409","295242735",78,89,13,468,2011-05-08 16:56:49,FALSE,2,"3"
"410","585118145",1241,164,17,556,2012-05-19 21:48:22,FALSE,2,"3"
"411","148549365",91,112,1,125,2010-05-27 00:26:06,FALSE,1,"3"
"412","148549365",91,112,1,125,2010-05-27 00:26:06,FALSE,2,"3"
"413","282655442",1351,119,6,126,2011-04-15 16:48:34,FALSE,1,"3"
"414","282655442",1351,119,6,126,2011-04-15 16:48:34,FALSE,2,"3"
"415","323922351",649,131,108,256,2011-06-25 17:28:18,FALSE,2,"3"
"416","131024733",74,147,0,205,2010-04-09 01:47:58,FALSE,1,"3"
"417","131024733",74,147,0,205,2010-04-09 01:47:58,FALSE,2,"3"
"418","188604385",904,92,16,253,2010-09-09 03:38:56,FALSE,1,"3"
"419","188604385",904,92,16,253,2010-09-09 03:38:56,FALSE,2,"3"
"420","117851604",1354,277,2,382,2010-02-26 20:46:57,FALSE,1,"3"
"421","117851604",1354,277,2,382,2010-02-26 20:46:57,FALSE,2,"3"
"422","210487431",2030,186,6,230,2010-10-31 15:12:50,FALSE,1,"3"
"423","210487431",2030,186,6,230,2010-10-31 15:12:50,FALSE,2,"3"
"424","125457976",2570,315,5,609,2010-03-22 22:04:45,FALSE,1,"3"
"425","125457976",2570,315,5,609,2010-03-22 22:04:45,FALSE,2,"3"
"426","219407492",618,244,34,1701,2010-11-24 19:45:56,FALSE,2,"3"
"427","280301085",18,59,1,107,2011-04-11 02:12:08,FALSE,2,"2"
"428","51876801",6077,148,18,269,2009-06-28 23:10:22,FALSE,1,"3"
"429","51876801",6077,148,18,269,2009-06-28 23:10:22,FALSE,2,"3"
"430","415603980",3333,308,189,690,2011-11-18 15:18:38,FALSE,2,"4"
"431","128886512",2287,221,27,407,2010-04-02 14:07:29,FALSE,2,"3"
"432","171315068",3907,463,60,653,2010-07-27 02:17:18,FALSE,2,"4"
"433","83247079",113,71,0,93,2009-10-17 23:35:04,FALSE,2,"3"
"434","69979607",17264,789,358,600,2009-08-29 22:29:37,FALSE,1,"4"
"435","69979607",17264,789,358,600,2009-08-29 22:29:37,FALSE,2,"4"
"436","46391674",42262,645,229,830,2009-06-11 13:59:32,FALSE,1,"4"
"437","114910658",4608,282,44,360,2010-02-17 00:51:41,FALSE,1,"4"
"438","114910658",4608,282,44,360,2010-02-17 00:51:41,FALSE,2,"4"
"439","377655665",296,262,12,1005,2011-09-21 22:30:35,FALSE,2,"3"
"440","14378372",65883,35406,23911,10100,2008-04-13 22:06:07,FALSE,1,"1"
"441","11348282",35967,9333734,484,232,2007-12-19 20:20:32,TRUE,1,"1"
"442","82808797",24364,5495,163,204,2009-10-16 05:40:46,FALSE,1,"4"
"443","16727535",11492,3836974,68,521,2008-10-13 20:59:15,TRUE,1,"1"
"444","15973392",26125,657546,315,85921,2008-08-24 22:21:55,TRUE,1,"1"
"445","15973392",26125,657546,315,85921,2008-08-24 22:21:55,TRUE,2,"1"
"446","8440552",2423,15986,2,12745,2007-08-26 12:56:42,FALSE,1,"1"
"447","8440552",2423,15986,2,12745,2007-08-26 12:56:42,FALSE,2,"1"
"448","103550181",24849,2622218,2090,229793,2010-01-10 11:47:21,FALSE,1,"1"
"449","103550181",24849,2622219,2090,229793,2010-01-10 11:47:21,FALSE,2,"1"
"450","51300154",38935,3767,1647,1033,2009-06-27 01:14:16,FALSE,1,"4"
"451","51300154",38935,3767,1647,1033,2009-06-27 01:14:16,FALSE,2,"4"
"452","27637281",24857,610,89,529,2009-03-30 13:38:57,FALSE,1,"4"
"453","27637281",24857,610,89,529,2009-03-30 13:38:57,FALSE,2,"4"
"454","18144310",11527,83887,1,17,2008-12-15 19:39:49,FALSE,1,"1"
"455","55132926",8625,2925,1342,2961,2009-07-09 03:47:25,FALSE,1,"4"
"456","55132926",8625,2925,1342,2961,2009-07-09 03:47:25,FALSE,2,"4"
"457","187127892",9143,28920,2113,13625,2010-09-05 10:08:59,FALSE,1,"1"
"458","122703242",762,1502,1,1929,2010-03-13 16:04:04,FALSE,2,"3"
"459","133640443",8,27,0,17,2010-04-16 08:22:14,FALSE,2,"2"
"460","800059591",287,787,3,1412,2012-09-03 09:47:29,FALSE,2,"3"
"461","334883766",220,267,0,496,2011-07-13 20:27:56,FALSE,2,"3"
"462","75112680",6918,547855,1,13,2009-09-17 20:54:47,FALSE,1,"1"
"463","840802393",653,357,13,1005,2012-09-23 01:46:55,FALSE,2,"3"
"464","160031896",185,85,5,90,2010-06-27 01:01:16,FALSE,2,"3"
"465","63852253",1285,164,47,150,2009-08-07 23:23:20,FALSE,1,"3"
"466","63852253",1285,164,47,150,2009-08-07 23:23:20,FALSE,2,"3"
"467","69941585",12642,672,256,495,2009-08-29 19:26:57,FALSE,1,"4"
"468","117269326",416,207,7,159,2010-02-25 02:28:22,FALSE,1,"3"
"469","117269326",416,207,7,159,2010-02-25 02:28:22,FALSE,2,"3"
"470","31471128",3423,51691,1,191,2009-04-15 18:07:07,FALSE,1,"1"
"471","104198446",15391,799,1264,325,2010-01-12 16:01:17,FALSE,1,"4"
"472","104198446",15391,799,1264,325,2010-01-12 16:01:17,FALSE,2,"4"
"473","2990349939",143,256,0,159,2015-01-21 18:50:55,FALSE,1,"3"
"474","2990349939",143,256,0,159,2015-01-21 18:50:55,FALSE,2,"3"
"475","154604973",4735,181009,7,442,2010-06-11 18:10:45,FALSE,1,"1"
"476","192377130",654,6188,2,49,2010-09-18 23:58:48,FALSE,1,"3"
"477","758970",145577,25275,4778,3366,2007-02-08 22:38:49,FALSE,1,"1"
"478","142353798",11617,542,145,240,2010-05-10 17:19:58,FALSE,2,"4"
"479","6778832",8759,37532,52,16918,2007-06-13 00:18:38,FALSE,2,"1"
"480","731191812",85,33,0,125,2012-08-01 18:20:59,FALSE,2,"2"
"481","308749192",214,77,4,285,2011-05-31 23:04:18,FALSE,2,"3"
"482","14114420",58405,603664,73,217914,2008-03-10 15:07:28,TRUE,1,"1"
"483","14114420",58405,603664,73,217914,2008-03-10 15:07:28,TRUE,2,"1"
"484","419057365",7,8,0,36,2011-11-22 22:14:23,FALSE,2,"2"
"485","421465131",84,118,0,288,2011-11-26 00:06:27,FALSE,2,"3"
"486","171147699",19,430,1,1143,2010-07-26 17:35:42,FALSE,1,"3"
"487","171147699",19,430,1,1143,2010-07-26 17:35:42,FALSE,2,"3"
"488","226327934",3413,320,4,268,2010-12-13 22:21:30,FALSE,2,"3"
"489","32331513",120,319,0,23,2009-04-17 06:24:06,FALSE,1,"3"
